FULL NAME,TEAM,POINTS PER GAME
Aaron Gordon,Orl,16
Aaron Holiday,Ind,5.9
Abdel Nader,Okc,4
Al Horford,Bos,13.6
Alan Williams,Bro,3.6
Alec Burks,Cle,11.6
Alec Burks,Uta,8.4
Alec Burks,Sac,1.7
Alex Abrines,Okc,5.3
Alex Caruso,Lal,9.2
Alex Len,Atl,11.1
Alex Poythress,Atl,5.1
Al-Farouq Aminu,Por,9.4
Alfonzo McKinnie,Gol,4.7
Alize Johnson,Ind,0.9
Allen Crabbe,Bro,9.6
Allonzo Trier,Nyk,10.9
Amile Jefferson,Orl,2.3
Amir Johnson,Phi,3.9
Andre Drummond,Det,17.3
Andre Iguodala,Gol,5.7
Andre Ingram,Lal,0
Andrew Bogut,Gol,3.5
Andrew Harrison,Cle,4.3
Andrew Harrison,Mem,2
Andrew Harrison,Nor,1.5
Andrew Wiggins,Min,18.1
Anfernee Simons,Por,3.8
Angel Delgado,Lac,1.5
Ante Zizic,Cle,7.8
Anthony Davis,Nor,25.9
Anthony Tolliver,Min,5
Antonio Blakeney,Chi,7.3
Aron Baynes,Bos,5.6
Austin Rivers,Hou,8.7
Austin Rivers,Was,7.2
Avery Bradley,Mem,16.1
Avery Bradley,Lac,8.2
Bam Adebayo,Mia,8.9
Ben McLemore,Sac,3.9
Ben Simmons,Phi,16.9
Billy Garrett,Nyk,6.5
Bismack Biyombo,Cha,4.4
BJ Johnson,Atl,3.5
BJ Johnson,Sac,2
Blake Griffin,Det,24.5
Boban Marjanovic,Phi,8.2
Boban Marjanovic,Lac,7.1
Bobby Portis,Was,14.3
Bobby Portis,Chi,14.1
Bogdan Bogdanovic,Sac,14.1
Bojan Bogdanovic,Ind,18
Bonzie Colson,Mil,4.9
Brad Wanamaker,Bos,3.9
Bradley Beal,Was,25.6
Brandon Goodwin,Den,1.4
Brandon Ingram,Lal,18.3
Brandon Knight,Cle,8.5
Brandon Knight,Hou,3
Brandon Sampson,Chi,5.1
Brook Lopez,Mil,12.5
Bruce Brown,Det,4.3
Bruno Caboclo,Mem,8.3
Bryn Forbes,San,11.8
Buddy Hield,Sac,20.7
C.J. Williams,Min,2.6
Caleb Swanigan,Sac,2.7
Caleb Swanigan,Por,1.9
Cameron Payne,Cle,8.2
Cameron Payne,Chi,5.7
Cameron Reynolds,Min,5
Caris LeVert,Bro,13.7
Carmelo Anthony,Hou,13.4
Cedi Osman,Cle,13
Chandler Hutchison,Chi,5.2
Chandler Parsons,Mem,7.5
Channing Frye,Cle,3.6
Chasson Randle,Was,5.5
Cheick Diallo,Nor,6
Chimezie Metu,San,1.8
Chris Boucher,Tor,3.3
Chris Chiozza,Hou,0.9
Chris Paul,Hou,15.6
Christian Wood,Nor,16.9
Christian Wood,Mil,2.8
CJ McCollum,Por,21
CJ Miles,Mem,9.3
CJ Miles,Tor,5.5
Clint Capela,Hou,16.6
Cody Zeller,Cha,10.1
Collin Sexton,Cle,16.7
Corey Brewer,Phi,7.6
Corey Brewer,Sac,4.1
Cory Joseph,Ind,6.5
Courtney Lee,Nyk,4.7
Courtney Lee,Dal,3.6
Cristiano Felicio,Chi,4
D.J. Augustin,Orl,11.7
D.J. Wilson,Mil,5.8
Dairis Bertans,Nor,2.8
Damian Jones,Gol,5.4
Damian Lillard,Por,25.8
Damion Lee,Gol,4.9
